RUN	pokemonapi.PokemonTestApi	pokemontestapi	1720996390955	 	3.11.5
USER	Prokemon API Test	END	1720996397756
USER	Prokemon API Test	START	1720996397756
REQUEST		Get psyduck	1720996397756	1720996397807	OK	 
USER	Prokemon API Test	END	1720996397811
USER	Prokemon API Test	START	1720996397811
REQUEST		Get butterfree	1720996397811	1720996397858	KO	jmesPath(base_experience).find.is(112), but actually found 198
USER	Prokemon API Test	END	1720996397861
USER	Prokemon API Test	START	1720996397861
REQUEST		Get onix	1720996397861	1720996397909	OK	 
USER	Prokemon API Test	END	1720996397912
USER	Prokemon API Test	START	1720996397912
REQUEST		Get ditto	1720996397912	1720996397946	OK	 
USER	Prokemon API Test	END	1720996397947
USER	Prokemon API Test	START	1720996397947
REQUEST		Get pikachu	1720996397948	1720996397994	OK	 
USER	Prokemon API Test	END	1720996397997
USER	Prokemon API Test	START	1720996397997
REQUEST		Get charmander	1720996397997	1720996398057	OK	 
USER	Prokemon API Test	END	1720996398060
USER	Prokemon API Test	START	1720996398060
REQUEST		Get psyduck	1720996398060	1720996398117	OK	 
USER	Prokemon API Test	END	1720996398120
USER	Prokemon API Test	START	1720996398121
REQUEST		Get butterfree	1720996398121	1720996398165	KO	jmesPath(base_experience).find.is(112), but actually found 198
USER	Prokemon API Test	END	1720996398168
USER	Prokemon API Test	START	1720996398169
REQUEST		Get onix	1720996398169	1720996398213	OK	 
USER	Prokemon API Test	END	1720996398216
USER	Prokemon API Test	START	1720996398216
REQUEST		Get ditto	1720996398217	1720996398249	OK	 
USER	Prokemon API Test	END	1720996398251
USER	Prokemon API Test	START	1720996398251
REQUEST		Get pikachu	1720996398251	1720996398299	OK	 
USER	Prokemon API Test	END	1720996398302
USER	Prokemon API Test	START	1720996398302
REQUEST		Get charmander	1720996398302	1720996398353	OK	 
USER	Prokemon API Test	END	1720996398356
USER	Prokemon API Test	START	1720996398356
REQUEST		Get psyduck	1720996398357	1720996398401	OK	 
USER	Prokemon API Test	END	1720996398404
USER	Prokemon API Test	START	1720996398404
REQUEST		Get butterfree	1720996398405	1720996398455	KO	jmesPath(base_experience).find.is(112), but actually found 198
USER	Prokemon API Test	END	1720996398458
USER	Prokemon API Test	START	1720996398458
REQUEST		Get onix	1720996398458	1720996398505	OK	 
USER	Prokemon API Test	END	1720996398508
USER	Prokemon API Test	START	1720996398508
REQUEST		Get ditto	1720996398508	1720996398537	OK	 
USER	Prokemon API Test	END	1720996398538
USER	Prokemon API Test	START	1720996398539
REQUEST		Get pikachu	1720996398539	1720996398588	OK	 
USER	Prokemon API Test	END	1720996398592
USER	Prokemon API Test	START	1720996398592
REQUEST		Get charmander	1720996398592	1720996398638	OK	 
USER	Prokemon API Test	END	1720996398641
USER	Prokemon API Test	START	1720996398641
REQUEST		Get psyduck	1720996398642	1720996398689	OK	 
USER	Prokemon API Test	END	1720996398692
USER	Prokemon API Test	START	1720996398692
